period1 (input);phe1 (input);period2 (output);phe2 (output)
25.09.1981;59;1981,04;55,70916712
01.10.1981;53;1981,05;54,30492217
11.12.1981;46;1981,06;52,97498679
07.12.1982;38;1981,07;52,55880424
25.07.1991;36;1981,08;52,44825252
13.09.1991;42;1981,09;51,58758281
08.04.1992;23;1981,1;50,20954433
10.02.1993;49;1981,11;42,82749199
16.09.1993;42;1981,12;42,68563263
08.09.1994;43;1982,01;43,40067029
03.01.1995;42;1982,02;36,03761914
10.11.1995;47;1982,03;39,05946358
07.10.1996;58;1982,04;39,86709788
18.12.2001;67;1982,05;38,39526723
18.04.2002;64;1982,06;37,6606255
05.09.2002;57;1982,07;37,45582528
24.10.2002;51;1982,08;36,39969171
31.10.2002;55;1982,09;36,87222365
31.10.2002;52;1982,1;37,12762168
02.01.2003;50;1982,11;36,76082395
27.01.2003;47;1982,12;35,68422449
28.01.2003;46;1983,01;35,71110384
04.09.2003;44;1983,02;38,50494407
14.10.1981;54;1983,03;39,33178456
17.11.1981;45;1983,04;39,72006806
22.01.1982;46;1983,05;43,63764852
17.02.1982;38;1983,06;47,72042727
03.03.1982;42;1983,07;47,44789625
18.03.1982;43;1983,08;47,35281726
21.04.1982;44;1983,09;45,70302559
24.05.1982;40;1983,1;50,8646234
17.08.1982;40;1983,11;53,05613461
09.09.1982;41;1983,12;51,55267608
24.09.1982;40;1984,01;52,1566099
05.10.1982;41;1984,02;53,06730326
18.01.1983;38;1984,03;51,72024162
25.02.1983;43;1984,04;51,93262817
08.04.1983;42;1984,05;52,55120096
11.05.1983;48;1984,06;52,16384947
15.06.1983;47;1984,07;51,00863739
28.06.1983;52;1984,08;51,23846259
22.09.1983;48;1984,09;51,89879823
26.10.1983;54;1984,1;52,54423168
28.10.1983;55;1984,11;53,57164678
03.11.1983;56;1984,12;53,85862421
08.12.1983;53;1985,01;54,4385973
12.01.1984;54;1985,02;52,52317419
13.02.1984;56;1985,03;49,52611001
16.05.1984;55;1985,04;49,16575756
05.07.1984;53;1985,05;49,818514
07.09.1984;54;1985,06;52,86474742
22.02.1985;54;1985,07;53,00138218
21.03.1985;51;1985,08;52,72030098
08.05.1985;50;1985,09;52,01958702
13.06.1985;56;1985,1;51,84023788
25.07.1985;56;1985,11;50,72404464
19.09.1985;54;1985,12;52,29102042
24.10.1985;54;1986,01;51,42111127
12.12.1985;55;1986,02;53,28096095
06.02.1986;56;1986,03;55,39379443
20.03.1986;58;1986,04;56,51561975
24.04.1986;60;1986,05;58,6622658
15.05.1986;61;1986,06;54,34270219
19.06.1986;55;1986,07;53,32243307
02.09.1986;58;1986,08;53,05007889
13.01.1987;47;1986,09;53,24525944
05.03.1987;47;1986,1;51,71911145
09.04.1987;48;1986,11;50,74322934
28.05.1987;50;1986,12;49,87539021
25.06.1987;49;1987,01;47,09994938
03.08.1987;50;1987,02;47,16748882
17.09.1987;44;1987,03;44,93229344
15.10.1987;48;1987,04;45,12859
11.12.1987;44;1987,05;46,9461775
14.12.1987;43;1987,06;46,46812185
17.01.1988;46;1987,07;48,12895355
19.05.1988;47;1987,08;47,58278411
06.07.1988;50;1987,09;42,61911707
30.03.1989;61;1987,1;44,02935886
19.05.1989;61;1987,11;41,6903051
15.06.1989;61;1987,12;40,2276704
17.08.1989;63;1988,01;42,54178076
28.09.1989;64;1988,02;42,91597616
11.01.1990;61;1988,03;43,10761783
01.02.1990;58;1988,04;43,76881208
17.05.1990;52;1988,05;44,01171693
19.07.1990;46;1988,06;45,2609759
06.09.1990;53;1988,07;46,84481109
10.10.1990;38;1988,08;51,08337153
23.01.1991;45;1988,09;52,27526286
01.03.1991;49;1988,1;52,61071532
30.05.1991;46;1988,11;52,70520061
16.10.1991;37;1988,12;52,73183253
11.12.1991;24;1989,01;57,4020112
29.01.1992;28;1989,02;59,08541328
30.01.1992;24;1989,03;59,37341084
03.06.1992;23;1989,04;49,25787789
01.07.1992;25;1989,05;56,73703839
11.12.1992;27;1989,06;58,7407919
